feature,LBT070,LBT123,LBT001,LBT003,BT333,CME037,CME038,BT569
std_eccentricity_round_t_1dpi_end,0.14839379382269377,0.14604414128428395,0.14095530137783926,0.1446962190156159,0.1435708324719347,0.14709590965526123,0.1432057551648256,0.1440673461640228
mean_eccentricity_round_t_5dpi_start,0.6574049773755656,0.6609819847328244,0.6560740157480316,0.6431958990536277,0.6551743421052632,0.6610976029962546,0.6656864130434783,0.6412325
std_eccentricity_round_t_5dpi_start,0.1534092258178178,0.15154078886870276,0.1458303451190983,0.1481885812840048,0.13755664923492672,0.14224388936048601,0.14484616516504578,0.15003268797102226
mean_eccentricity_round_t_5dpi_end,0.6522761589403973,0.6556685039370078,0.6865599999999998,0.6454484230055659,0.6700618556701031,0.6656323262839879,0.640978835978836,0.6495337468982632
std_eccentricity_round_t_5dpi_end,0.14448498316831374,0.14427472571130293,0.1403520849219401,0.14573555356462362,0.1460100549985601,0.13355019535409696,0.14465795267839904,0.15219776674313415
mean_eccentricity_remified_t_1dpi_start,0.8237426174496644,0.8090199753694581,0.8319408898305085,0.827525969387755,0.8082895294117647,0.8189778225806451,0.844389224137931,0.8090992248062016
std_eccentricity_remified_t_1dpi_start,0.14281920113976865,0.146320601954324,0.1407041362109418,0.15070324273244198,0.13487516384545595,0.14245864919822246,0.147246327722554,0.14882163915684413
mean_eccentricity_remified_t_1dpi_mid,0.8213854014598538,0.8160610778443114,0.855789617486339,0.8327108344549126,0.8273325342465753,0.8244929411764705,0.8269828193832599,0.8100148314606741
std_eccentricity_remified_t_1dpi_mid,0.1427217226834031,0.13803961116375718,0.12691929877501382,0.14206840142773955,0.14417430223739477,0.15159939681666623,0.1417117723022715,0.13912792652681513
mean_eccentricity_remified_t_1dpi_end,0.8325715867158671,0.8259378078817733,0.8728635359116022,0.8354941282746161,0.8386815864022664,0.8375812741312741,0.8520029661016949,0.8272168874172185
std_eccentricity_remified_t_1dpi_end,0.14839379382269377,0.14604414128428395,0.14095530137783926,0.1446962190156159,0.1435708324719347,0.14709590965526123,0.1432057551648256,0.1440673461640228
mean_eccentricity_remified_t_5dpi_start,0.8340428267045454,0.8424124361158433,0.8608348066298344,0.8413503219415551,0.8327925925925925,0.8357507136060894,0.8406985480943739,0.8453470031545742
std_eccentricity_remified_t_5dpi_start,0.1534092258178178,0.15154078886870276,0.1458303451190983,0.1481885812840048,0.13755664923492672,0.14224388936048601,0.14484616516504578,0.15003268797102226
mean_eccentricity_remified_t_5dpi_end,0.8393075980392157,0.832432679738562,0.8371335616438356,0.8442410128388017,0.8345802395209581,0.847595788336933,0.8572183294663572,0.8443945714285714
std_eccentricity_remified_t_5dpi_end,0.14448498316831374,0.14427472571130293,0.1403520849219401,0.14573555356462362,0.1460100549985601,0.13355019535409696,0.14465795267839904,0.15219776674313415
mean_circularity_round_t_1dpi_start,0.844588076680505,0.8358090556721144,0.8474944020275837,0.8456474243975312,0.8352963533684195,0.8280443621270364,0.8517124721459273,0.839893275603384
std_circularity_round_t_1dpi_start,0.05668935434551997,0.06236687453511839,0.06344625827322814,0.06588215759119356,0.054987586049339544,0.050656247570923366,0.06981668159714664,0.06537994107798327
mean_circularity_round_t_1dpi_mid,0.8561479982379182,0.8408433026175774,0.8509041114190361,0.8467443092792691,0.8391956310098839,0.834209364437753,0.8394272449586828,0.8417344280135968
std_circularity_round_t_1dpi_mid,0.06699865216035811,0.05708089113225084,0.06328028026737768,0.06707417504669891,0.05599107592901585,0.050658546243419145,0.05877068020639581,0.058705670830131
mean_circularity_round_t_1dpi_end,0.8624814842922083,0.8477606906565952,0.8599747279904822,0.850470497400467,0.8383873131650519,0.8382652731058968,0.8318380063060343,0.846351270341394
std_circularity_round_t_1dpi_end,0.06784206755101964,0.06457437809435645,0.06980370030677163,0.06487420814219194,0.056054966737057975,0.051795549899868655,0.04999073673891639,0.05781073859931293
mean_circularity_round_t_5dpi_start,0.8636904795600904,0.8612008611624914,0.8639214041865017,0.8616032892431105,0.8569567230828471,0.8564241262517126,0.8634388294489865,0.8681798717202123
std_circularity_round_t_5dpi_start,0.06934472520825558,0.07115560760529792,0.06853859136389175,0.06959419054528748,0.07403489978773409,0.06674199094018649,0.07084169309230966,0.07184951598855784
mean_circularity_round_t_5dpi_end,0.8560628386238176,0.8594209005114768,0.848374720936853,0.8701294346632344,0.8574762626173126,0.8613096319864781,0.8551814127469584,0.8694301259216024
std_circularity_round_t_5dpi_end,0.07171607242800028,0.066759139065414,0.06072442692678389,0.07079463692159464,0.068044470756647,0.06841655256194397,0.061087363815299986,0.06749276970847712
mean_circularity_remified_t_1dpi_start,0.5065516384863689,0.5427225396866617,0.49322957183509036,0.5093866223053437,0.5188994922997452,0.5077031214837835,0.46157356899855323,0.5075367585950953
std_circularity_remified_t_1dpi_start,0.05668935434551997,0.06236687453511839,0.06344625827322814,0.06588215759119356,0.054987586049339544,0.050656247570923366,0.06981668159714664,0.06537994107798327
mean_circularity_remified_t_1dpi_mid,0.5022401993385162,0.5471373208892766,0.46807867801070163,0.5205537548814537,0.5529639981935565,0.5165337746344754,0.47542100502645757,0.5384010802632483
std_circularity_remified_t_1dpi_mid,0.06699865216035811,0.05708089113225084,0.06328028026737768,0.06707417504669891,0.05599107592901585,0.050658546243419145,0.05877068020639581,0.058705670830131
mean_circularity_remified_t_1dpi_end,0.5206700895420259,0.5434264685362177,0.4806970843296294,0.5268178211300422,0.55988269789395,0.525274695508752,0.4832236780713528,0.5398987807250901
std_circularity_remified_t_1dpi_end,0.06784206755101964,0.06457437809435645,0.06980370030677163,0.06487420814219194,0.056054966737057975,0.051795549899868655,0.04999073673891639,0.05781073859931293
mean_circularity_remified_t_5dpi_start,0.45113796208690926,0.4360790624429767,0.42963938772222987,0.43951713905934675,0.42772415472436315,0.433200861065186,0.40880331061615893,0.44345428148323807
std_circularity_remified_t_5dpi_start,0.06934472520825558,0.07115560760529792,0.06853859136389175,0.06959419054528748,0.07403489978773409,0.06674199094018649,0.07084169309230966,0.07184951598855784
mean_circularity_remified_t_5dpi_end,0.44503483004198346,0.45980699904391864,0.49690845101497716,0.46456298349423447,0.4535889901171553,0.45204718080269546,0.4215573609499769,0.46884716213092087
std_circularity_remified_t_5dpi_end,0.07171607242800028,0.066759139065414,0.06072442692678389,0.07079463692159464,0.068044470756647,0.06841655256194397,0.061087363815299986,0.06749276970847712
